category,brand,model,status,brand_id,matched_slug,image_count,note
4w,audi,A4,scraped_exact,audi,a4,20,
4w,audi,A6,scraped_exact,Audi,Audi_A6,2,
4w,audi,A8 L,scraped_exact,audi,a8-l,21,
4w,audi,e-tron GT,scraped_exact,audi,e-tron-gt,23,
4w,audi,Q3,scraped_exact,audi,q3,21,
4w,audi,Q3 Sportback,scraped_exact,audi,q3-sportback,18,
4w,audi,Q5,scraped_exact,audi,q5,20,
4w,audi,Q7,scraped_exact,audi,q7,19,
4w,audi,Q8,scraped_exact,audi,q8,19,
4w,audi,Q8 e-tron,scraped_exact,audi,q8-e-tron,23,
4w,audi,Q8 Sportback e-tron,scraped_exact,audi,q8-sportback-e-tron,19,
4w,audi,RS e-tron GT,scraped_exact,audi,rs-e-tron-gt,21,
4w,audi,RS Q8,scraped_exact,audi,rs-q8,21,
4w,audi,S5 Sportback,scraped_exact,audi,s5-sportback,20,
4w,audi,SQ8,scraped_exact,audi,sq8,23,
4w,bmw,2 Series Gran Coupe,scraped_exact,bmw,2-series-gran-coupe,20,
4w,bmw,3 Series,scraped_exact,BMW,BMW_3_Series,18,
4w,bmw,3 Series Gran Limousine,scraped_exact,bmw,3-series-gran-limousine,16,
4w,bmw,5 Series,scraped_exact,bmw,5-series,18,
4w,bmw,6 Series GT,scraped_exact,BMW,BMW_6_Series,22,
4w,bmw,7 Series,scraped_exact,bmw,7-series,22,
4w,bmw,8 Series Gran Coupe,scraped_exact,bmw,8-series,21,
4w,bmw,i4,scraped_exact,bmw,i4,18,
4w,bmw,i5,scraped_exact,bmw,i5,21,
4w,bmw,i7,scraped_exact,bmw,i7,21,
4w,bmw,iX,scraped_exact,bmw,ix,23,
4w,bmw,iX1,scraped_exact,bmw,ix1,19,
4w,bmw,M2,scraped_exact,bmw,m2,19,
4w,bmw,M340i,scraped_exact,bmw,m340i,18,
4w,bmw,M4,covered_by_alias,bmw,m4-competition,21,"uses shared source model ""M4 Competition"""
4w,bmw,M4 Competition,scraped_exact,bmw,m4-competition,21,
4w,bmw,M5,scraped_exact,bmw,m5,15,
4w,bmw,M8,covered_by_alias,bmw,m8-coupe-competition,23,"uses shared source model ""M8 Coupe Competition"""
4w,bmw,M8 Coupe Competition,scraped_exact,bmw,m8-coupe-competition,23,
4w,bmw,X1,scraped_exact,bmw,x1,19,
4w,bmw,X3,scraped_exact,bmw,x3,15,
4w,bmw,X4,scraped_exact,bmw,x4,18,
4w,bmw,X5,scraped_exact,bmw,x5,20,
4w,bmw,X5 M Competition,scraped_exact,bmw,x5-m,21,
4w,bmw,X7,scraped_exact,bmw,x7,21,
4w,bmw,XM,scraped_exact,bmw,xm,21,
4w,bmw,Z4,scraped_exact,bmw,z4,21,
4w,hyundai,Alcazar,scraped_exact,hyundai,alcazar,20,
4w,hyundai,Aura,scraped_exact,hyundai,aura,19,
4w,hyundai,Creta,scraped_exact,hyundai,creta,29,
4w,hyundai,Creta EV,scraped_exact,hyundai,creta-electric,17,
4w,hyundai,Creta N Line,scraped_exact,hyundai,creta-n-line,19,
4w,hyundai,Exter,scraped_exact,hyundai,exter,23,
4w,hyundai,Grand i10 Nios,scraped_exact,hyundai,grand-i10-nios,21,
4w,hyundai,i20,scraped_exact,hyundai,i20,21,
4w,hyundai,i20 N Line,scraped_exact,hyundai,i20-n-line,21,
4w,hyundai,Ioniq 5,scraped_exact,hyundai,ioniq-5,18,
4w,hyundai,Prime HB,scraped_exact,hyundai,prime-hb,4,
4w,hyundai,Prime SD,scraped_exact,hyundai,prime-sd,4,
4w,hyundai,Tucson,scraped_exact,hyundai,tucson,21,
4w,hyundai,Venue,scraped_exact,hyundai,venue,21,
4w,hyundai,Venue N Line,scraped_exact,hyundai,venue-n-line,19,
4w,hyundai,Verna,scraped_exact,hyundai,verna,23,
4w,kia,Carens,scraped_exact,kia,carens,20,
4w,kia,Carens Clavis,scraped_exact,kia,carens-clavis,21,
4w,kia,Carens Clavis EV,scraped_exact,kia,carens-clavis-ev,20,
4w,kia,Carnival,scraped_exact,kia,carnival,16,
4w,kia,EV6,scraped_exact,kia,ev6,18,
4w,kia,EV9,scraped_exact,kia,ev9,19,
4w,kia,Seltos,scraped_exact,kia,seltos,3,
4w,kia,Sonet,scraped_exact,kia,sonet,23,
4w,kia,Syros,scraped_exact,kia,syros,21,
4w,land rover,Defender,scraped_exact,land-rover,defender,21,
4w,land rover,Discovery,scraped_exact,land-rover,discovery,19,
4w,land rover,Discovery Sport,scraped_exact,land-rover,discovery-sport,17,
4w,land rover,Range Rover,scraped_exact,land-rover,range-rover,21,
4w,land rover,Range Rover Evoque,scraped_exact,land-rover,range-rover-evoque,18,
4w,land rover,Range Rover Sport,scraped_exact,land-rover,range-rover-sport,21,
4w,land rover,Range Rover Velar,scraped_exact,land-rover,range-rover-velar,18,
4w,mahindra,BE 6,scraped_exact,mahindra,be-6,28,
4w,mahindra,Bolero,scraped_exact,mahindra,bolero,20,
4w,mahindra,Bolero Camper,scraped_exact,mahindra,bolero-camper,5,
4w,mahindra,Bolero Neo,scraped_exact,mahindra,bolero-neo,23,
4w,mahindra,Bolero Neo Plus,scraped_exact,mahindra,bolero-neo-plus,13,
4w,mahindra,Bolero Pik-Up,scraped_exact,mahindra,bolero-pik-up,4,
4w,mahindra,Marazzo,scraped_exact,mahindra,marazzo,18,
4w,mahindra,Scorpio Classic,scraped_exact,mahindra,scorpio-classic,18,
4w,mahindra,Scorpio N,scraped_exact,mahindra,scorpio-n,21,
4w,mahindra,Thar,scraped_exact,mahindra,thar,20,
4w,mahindra,Thar Roxx,scraped_exact,mahindra,thar-roxx,30,
4w,mahindra,XEV 9e,scraped_exact,mahindra,xev-9e,15,
4w,mahindra,XEV 9S,scraped_exact,mahindra,xev-9s,20,
4w,mahindra,XUV 3XO,scraped_exact,mahindra,xuv-3xo,30,
4w,mahindra,XUV 3XO EV,scraped_exact,mahindra,xuv-3xo-ev,22,
4w,mahindra,XUV 7XO,scraped_exact,mahindra,xuv-7xo,21,
4w,mahindra,XUV400 EV,scraped_exact,mahindra,xuv400-ev,18,
4w,mahindra,XUV700,scraped_exact,mahindra,xuv700,30,
4w,nissan,Gravite,scraped_exact,nissan,gravite,19,
4w,nissan,Magnite,scraped_exact,nissan,magnite,21,
4w,nissan,X-Trail,scraped_exact,nissan,x-trail,19,
4w,renault,Duster,scraped_exact,renault,duster,21,
4w,renault,Kiger,scraped_exact,renault,kiger,21,
4w,renault,Kwid,scraped_exact,renault,kwid,21,
4w,renault,Triber,scraped_exact,renault,triber,21,
4w,skoda,Kodiaq,scraped_exact,skoda,kodiaq,20,
4w,skoda,Kushaq,scraped_exact,skoda,kushaq,14,
4w,skoda,Kylaq,scraped_exact,skoda,kylaq,20,
4w,skoda,Octavia RS,scraped_exact,skoda,octavia-rs,14,
4w,skoda,Slavia,scraped_exact,skoda,slavia,21,
4w,tata,Altroz,scraped_exact,tata,altroz,23,
4w,tata,Curvv,scraped_exact,tata,curvv,21,
4w,tata,Curvv EV,scraped_exact,tata,curvv-ev,19,
4w,tata,Harrier,scraped_exact,tata,harrier,21,
4w,tata,Harrier EV,scraped_exact,tata,harrier-ev,19,
4w,tata,Nexon,scraped_exact,tata,nexon,30,
4w,tata,Nexon EV,scraped_exact,tata,nexon-ev,19,
4w,tata,Punch,scraped_exact,tata,punch,20,
4w,tata,Punch EV,scraped_exact,tata,punch-ev,22,
4w,tata,Safari,scraped_exact,tata,safari,22,
4w,tata,Sierra,scraped_exact,tata,sierra,20,
4w,tata,Tiago,scraped_exact,tata,tiago,27,
4w,tata,Tiago EV,scraped_exact,tata,tiago-ev,18,
4w,tata,Tiago NRG,scraped_exact,tata,tiago-nrg,20,
4w,tata,Tigor,scraped_exact,tata,tigor,19,
4w,tata,Tigor EV,scraped_exact,tata,tigor-ev,19,
4w,tata,Xpres,scraped_exact,tata,xpres,17,
4w,tata,Xpres-T EV,scraped_exact,tata,xpres-t-ev,15,
4w,tata,Yodha Pickup,scraped_exact,tata,yodha-pickup,15,
4w,toyota,Camry,scraped_exact,toyota,camry,20,
4w,toyota,Fortuner,scraped_exact,Toyota,Toyota_Fortuner,23,
4w,toyota,Fortuner Legender,scraped_exact,toyota,fortuner-legender,17,
4w,toyota,Glanza,scraped_exact,toyota,glanza,21,
4w,toyota,Hilux,scraped_exact,toyota,hilux,19,
4w,toyota,Innova Crysta,scraped_exact,toyota,innova-crysta,21,
4w,toyota,Innova Hycross,scraped_exact,toyota,innova-hycross,20,
4w,toyota,Land Cruiser 300,scraped_exact,toyota,land-cruiser-300,16,
4w,toyota,Rumion,scraped_exact,Toyota,Toyota_Rumion,19,
4w,toyota,Taisor,scraped_exact,toyota,taisor,23,
4w,toyota,Urban Cruiser Hyryder,scraped_exact,toyota,urban-cruiser-hyryder,20,
4w,toyota,Vellfire,scraped_exact,toyota,vellfire,17,
4w,volkswagen,Golf GTI,scraped_exact,volkswagen,golf-gti,18,
4w,volkswagen,Taigun,scraped_exact,volkswagen,taigun,4,
4w,volkswagen,Tayron R-Line,scraped_exact,volkswagen,tayron-r-line,20,
4w,volkswagen,Tiguan R-Line,scraped_exact,volkswagen,tiguan-r-line,21,
4w,volkswagen,Virtus,scraped_exact,volkswagen,virtus,23,
4w,volvo,EC40,scraped_exact,volvo,ec40,21,
4w,volvo,EX30,scraped_exact,volvo,ex30,15,
4w,volvo,EX40,scraped_exact,volvo,ex40,22,
4w,volvo,XC60,scraped_exact,volvo,xc60,21,
4w,volvo,XC90,scraped_exact,volvo,xc90,14,
